Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
30.4.157,False,True,548563,Egyptian Art,"Facsimile, Nebamun (TT 181), Ipuky, Osiris, Fours Sons of Horus",Osiris and the Four Sons of Horus,,Twentieth Century; original New Kingdom,Dynasty 18,reign of Amenhotep III–Akhenaten,,Artist|Artist,,Nina de Garis Davies|Hugh R. Hopgood,1881–1965,,"Davies, Nina de Garis|Hopgood, Hugh R.",,1881      ,1965      ,A.D. 1915; original ca. 1400–1352 B.C.,-1400,-1352,Tempera on paper,Facsimile: H. 78.5 × W. 81 cm (30 7/8 × 31 7/8 in.); Framed: H. 80 × W. 82.6 cm (31 1/2 × 32 1/2 in.); Scale. 1:1,"Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",el-Khokha,Tomb of Nebamun and Ipuky (TT 181),,"MMA Graphic Section, 1915",,,,http://www.metmuseum.org/art/collection/search/548563,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.18,False,True,544550,Egyptian Art,"Facsimile, Khnumhotep (Beni Hasan 3), fowling","Netting Birds, Tomb of Khnumhotep",,Middle Kingdom,Dynasty 12,reign of Amenemhat II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1897–1878 B.C.,-1897,-1897,Tempera on paper,"facsimile: h. 101 cm (39 3/4 in); w. 260 cm (102 3/8 in)
Scale 1:1
framed: h. 104.1 cm (41 in.); w. 264.5 cm (104 1/8 in.)","Rogers Fund, 1933",Original from,,,,Egypt,Middle Egypt,Beni Hasan,Tomb of Khnumhotep (Tomb 3),,MMA graphic expedition,,,,http://www.metmuseum.org/art/collection/search/544550,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.3,False,False,13506,American Decorative Arts,Letter opener,Letter Opener,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, glass","9 3/8 × 1 1/4 × 3/16 in. (23.8 × 3.2 × 0.5 cm)
Blade length: 5 3/8 in.
Handle length: 4 in.
","Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13506,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"1990.314.4a, b",False,False,13507,American Decorative Arts,Box,Covered Box,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, glass",3 7/8 x 5 13/16 x 4 3/16 in. (9.8 x 14.8 x 10.6 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13507,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.5,False,False,13508,American Decorative Arts,Magnifying glass,Magnifying Glass,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, glass",8 x 3 5/8 in. (20.3 x 9.2 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13508,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"1990.314.1a, b",False,False,13504,American Decorative Arts,Box,Covered Box,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Gilt metal, Favrile glass",2 1/8 x 6 7/16 x 4 in. (5.4 x 16.4 x 10.2 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13504,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.8,False,False,13511,American Decorative Arts,Frame,Frame,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Gilt bronze, Favrile glass",10 x 8 in. (25.4 x 20.3 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13511,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.7,False,False,13510,American Decorative Arts,Paper holder,Paper Holder,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1910–20,1907,1923,"Favrile glass, bronze",1 1/4 x 3 3/4 x 2 3/8 in. (3.2 x 9.5 x 6 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13510,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.9,False,False,13512,American Decorative Arts,Button hook,Button Hook,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, glass",7 5/8 x 1 1/8 in. (19.4 x 2.9 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13512,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.10a–d,False,False,13513,American Decorative Arts,Pen handles,Pen Handles,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, glass",a: 3/4 x 5 5/8 in. (1.9 x 14.3 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13513,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.11a–c,False,False,13514,American Decorative Arts,Candle shade and support,Candle Shade and Support,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,"Bronze, silk, glass",3 3/8 x 6 1/4 x 5/8 in. (8.6 x 15.9 x 1.6 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13514,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.13,False,False,13516,American Decorative Arts,Pen brush,Pen Brush,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,2 1/2 x 3 x 3 in. (6.4 x 7.6 x 7.6 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13516,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.14,False,False,13517,American Decorative Arts,Pen tray,Pen Tray,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,8 9/16 x 2 5/8 in. (21.7 x 6.7 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13517,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.15,False,False,13518,American Decorative Arts,Thermometer,Thermometer,American,,,,,Maker|Designer,Designed by,Tiffany Studios|Louis Comfort Tiffany,"1902–32|American, New York 1848–1933 New York",,"Tiffany Studios |Tiffany, Louis Comfort",American,1902      |1848      ,1932      |1933      ,ca. 1905–20,1902,1923,Gilt bronze,8 7/8 x 2 1/2 in. (22.5 x 6.4 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13518,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.16,False,False,13519,American Decorative Arts,Letter scale,Letter Scale,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,3 1/8 x 2 7/8 x 1 1/2 in. (7.9 x 7.3 x 3.8 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13519,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.17,False,False,13520,American Decorative Arts,Plate,Plate,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,3 3/8 x 2 1/4 in. (8.6 x 5.7 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13520,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.18,False,False,13521,American Decorative Arts,Letter opener,Letter Opener,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,10 1/2 x 13/16 in. (26.7 x 2.1 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13521,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
"1990.314.19a, b",False,False,13522,American Decorative Arts,Inkwell and tray,Inkwell and Tray,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,2 3/4 x 11 1/2 x 3 9/16 in. (7 x 29.2 x 9 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13522,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.20a–c,False,False,13523,American Decorative Arts,Ash tray,Ash Tray,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,2 1/2 x 3 5/8 x 4 1/4 in. (6.4 x 9.2 x 10.8 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13523,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.21,False,False,13524,American Decorative Arts,Inkwell,Inkwell,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,2 1/4 x 5 1/2 x 5 1/2 in. (5.7 x 14 x 14 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13524,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.22,False,False,13525,American Decorative Arts,Plaque,Plaque,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,Diam. 9 1/2 in. (24.1 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13525,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1990.314.23,False,False,13526,American Decorative Arts,Plaque,Plaque,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1905–20,1902,1923,Bronze,6 9/16 x 4 1/2 in. (16.7 x 11.4 cm),"Gift of Estate of John F. Scharffenberger, 1990",Made in,New York,Queens,Queens,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/13526,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.48,False,True,548437,Egyptian Art,"Facsimile, Menna (TT 69), marsh hunting","Menna and Family Hunting in the Marshes, Tomb of Menna",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Thutmose IV–Amenhotep III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,A.D. 1924; original ca. 1400–1352 B.C.,-1400,-1352,Tempera on paper,"facsimile: h. 101 cm (39 3/4 in); w. 189 cm (74 7/16 in)
scale 1:1
framed: h. 107 cm (41 1/8 in); w. 189 cm (77 in); th. 3.2 cm (1 1/4 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Menna (TT 69),north wall,,,,,http://www.metmuseum.org/art/collection/search/548437,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.119,False,True,547713,Egyptian Art,"Facsimile, Ipuy (TT 217), fishing, fowling","Fishing and Fowling, Tomb of Ipuy",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist|Artist,,Nina de Garis Davies|Norman de Garis Davies,1881–1965|1865–1941,or,"Davies, Nina de Garis|Davies, Norman de Garis",,1881      |1865      ,1965      |1941      ,ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"facsimile: h. 49.5 cm (19 1/2 in); w. 42 cm (16 9/16 in)
scale 1:1
framed: 54 cm (21 1/4 in); w. 54 cm (18 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Deir el-Medina,Tomb of Ipuy (TT 217),,,,,,http://www.metmuseum.org/art/collection/search/547713,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.31,False,True,548436,Egyptian Art,"Facsimile, Userhat (TT 51), adoration, western gods","Userhat Adoring Deities of the West, Tomb of Userhat",,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,reign of Seti I,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,original ca. 1294–1279 B.C.,-1294,-1279,Tempera on paper,"Facsimile h. 68 cm (26 3/4 in.); w. 94.5 cm (37 3/16 in.)
scale 1:1
Framed h. 69.2 cm (27 1/4 in.); w. 90.5 cm (35 5/8 in.)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Userhat (TT 51),,MMA Graphic Section,,,,http://www.metmuseum.org/art/collection/search/548436,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
96.17.10,True,True,9480,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1893–96,1893,1896,Favrile glass,14 1/8 x 11 1/2 in. (35.9 x 29.2 cm),"Gift of H. O. Havemeyer, 1896",Made in,New York,Queens,Queens,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9480,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
16.83.2,False,True,6158,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,Possibly,Davenport,active 1794–1887,,"Davenport, ",British,1794      ,1887      ,ca. 1820–60,1817,1860,"Earthenware, transfer-printed",Diam. 7 3/4 in. (19.7 cm),"Bequest of May Leask, 1916",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6158,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.15,False,True,557836,Egyptian Art,"Facsimile, Djehutyemhab (TT 45), offering scenes","Offerings Made to the Deceased and his Wife, Tomb of Djehutyemheb",,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,reign of Ramesses II,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1908; original ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"Facsimile H. 74 cm (29 1/8 in.); W. 171 cm (67 5/16 in.)
scale 1:1
Framed H. 76.5 cm (30 1/8 in.); W. 173.6 cm (68 3/8 in.)","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Djehutyemhab (TT 45),,"MMA Graphic Section, 1908",,,,http://www.metmuseum.org/art/collection/search/557836,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.14,False,False,557835,Egyptian Art,"Facsimile, Djehuty (TT 45), Djehutyemhab, banquet","Funerary Banquet, Tomb of Djehutyemheb",,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,A.D. 1908; original ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"Facsimile H. 65 cm (25 9/16 in); w. 162 cm (63 3/4 in)
scale 1:1
Framed H. 68.6 cm (27 in); w. 163.2 cm (64 1/4 in)","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Djehutyemhab (TT45),,"MMA Graphic Section, 1908",,,,http://www.metmuseum.org/art/collection/search/557835,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.13,False,False,557834,Egyptian Art,"Facsimile, Djehuty (TT 45), Djehutyemhab, banquet","Funerary Banquet, Tomb of Djehutyemheb",,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,reign of Ramesses II,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1908; original ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"Facsimile H. 51 cm (20 1/16 in); w. 117 cm (46 1/16 in)
scale 5:8
Framed H. 55.9 cm (22 in); w. 121.3 cm (47 3/4 in)","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Djehutyemhab (TT 45),,"MMA Graphic Section, 1908",,,,http://www.metmuseum.org/art/collection/search/557834,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.12,False,False,557833,Egyptian Art,"Facsimile, Djehuty (TT 45), Djehutyemhab, Amun-Re-Harakhty","Djehutyemhab and his Wife Worshipping Amun-Re-Harakhty, Tomb of Djehutyemhab",,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,reign of Ramesses II,,Artist|Artist,,Norman de Garis Davies|Francis Sydney Unwin,1865–1941|1885–1925,,"Davies, Norman de Garis|Unwin, Francis Sydney",,1865      |1885      ,1941      |1925      ,A.D. 1908; original ca. 1279–1213 B.C.,-1279,-1279,Tempera on paper,"Facsimile H. 54 cm (21 1/4 in); w. 60 cm (23 5/8 in)
scale 1:3
Framed H. 54.6 cm (21 1/2 in); w. 61.6 cm (24 1/4 in)","Rogers Fund, 1915",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Djehutyemhab (TT 45),,"MMA Graphic Section, December 1908",,,,http://www.metmuseum.org/art/collection/search/557833,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
15.5.11,False,False,557832,Egyptian Art,"Facsimile, Djehuty (TT 45), Djehutyemhab, adoration scene, Sokar","Djehutyemheb and his Wife Adoring Sokar, Tomb of Djehutyemheb",,"Twentieth Century; original New Kingdom, Ramesside",original Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,A.D. 1908; original ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"Facsimile H. 48 cm (18 7/8 in); w. 49 cm (19 5/16 in)
scale 4:7
Framed H. 53.7 cm (21 1/8 in); w. 53.7 cm (21 1/8 in)","Rogers Fund, 1915",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Djehutyemhab (TT 45),,"MMA Graphic Section, 1908",,,,http://www.metmuseum.org/art/collection/search/557832,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
